,Vx,Vy,H,B,,,,,Constants,
,(V),(V),,,,,,,Mew_0 ,1.26E-06
,,,,,,,,,np,400
14.74999963,5.064284,1.60999,2.33E+04,2.95E+00,,,,,,
14.79999963,4.985236,1.60999,2.30E+04,2.95E+00,,,,,,
14.84999962,4.985236,1.60999,2.30E+04,2.95E+00,,,,,,
14.89999962,4.905881,1.60999,2.26E+04,2.95E+00,,,,,,
14.94999962,4.905881,1.60999,2.26E+04,2.95E+00,,,,,,
14.99999962,4.826833,1.60999,2.22E+04,2.95E+00,,,,,,
15.04999962,4.747786,1.594181,2.19E+04,2.92E+00,,,,,,
15.09999962,4.668737,1.594181,2.15E+04,2.92E+00,,,,,,
15.14999962,4.668737,1.594181,2.15E+04,2.92E+00,,,,,,
15.19999962,4.668737,1.594181,2.15E+04,2.92E+00,,,,,,
15.24999961,4.510335,1.578433,2.08E+04,2.89E+00,,,,,,
15.29999961,4.510335,1.594181,2.08E+04,2.92E+00,,,,,,
15.34999961,4.431287,1.578433,2.04E+04,2.89E+00,,,,,,
15.39999961,4.352239,1.578433,2.01E+04,2.89E+00,,,,,,
15.44999961,4.352239,1.578433,2.01E+04,2.89E+00,,,,,,
15.49999961,4.272884,1.562623,1.97E+04,2.87E+00,,,,,,
15.54999961,4.193836,1.562623,1.93E+04,2.87E+00,,,,,,
15.59999961,4.114789,1.562623,1.90E+04,2.87E+00,,,,,,
15.6499996,4.114789,1.562623,1.90E+04,2.87E+00,,,,,,
15.6999996,4.035433,1.562623,1.86E+04,2.87E+00,,,,,,
15.7499996,4.035433,1.546875,1.86E+04,2.84E+00,,,,,,
15.7999996,3.956385,1.546875,1.82E+04,2.84E+00,,,,,,
15.8499996,3.877337,1.546875,1.79E+04,2.84E+00,,,,,,
15.8999996,3.79829,1.531065,1.75E+04,2.81E+00,,,,,,
15.9499996,3.718935,1.531065,1.71E+04,2.81E+00,,,,,,
15.9999996,3.718935,1.531065,1.71E+04,2.81E+00,,,,,,
16.04999959,3.639887,1.531065,1.68E+04,2.81E+00,,,,,,
16.09999959,3.639887,1.531065,1.68E+04,2.81E+00,,,,,,
16.14999959,3.560839,1.515317,1.64E+04,2.78E+00,,,,,,
16.19999959,3.481791,1.515317,1.60E+04,2.78E+00,,,,,,
16.24999959,3.481791,1.515317,1.60E+04,2.78E+00,,,,,,
16.29999959,3.323388,1.499508,1.53E+04,2.75E+00,,,,,,
16.34999959,3.323388,1.499508,1.53E+04,2.75E+00,,,,,,
16.39999959,3.24434,1.499508,1.50E+04,2.75E+00,,,,,,
16.44999958,3.164985,1.499508,1.46E+04,2.75E+00,,,,,,
16.49999958,3.085938,1.483698,1.42E+04,2.72E+00,,,,,,
16.54999958,3.085938,1.483698,1.42E+04,2.72E+00,,,,,,
16.59999958,3.00689,1.483698,1.39E+04,2.72E+00,,,,,,
16.64999958,2.927842,1.46795,1.35E+04,2.69E+00,,,,,,
16.69999958,2.848487,1.46795,1.31E+04,2.69E+00,,,,,,
16.74999958,2.769439,1.46795,1.28E+04,2.69E+00,,,,,,
16.79999958,2.690391,1.452141,1.24E+04,2.66E+00,,,,,,
16.84999957,2.690391,1.452141,1.24E+04,2.66E+00,,,,,,
16.89999957,2.611344,1.436393,1.20E+04,2.63E+00,,,,,,
16.94999957,2.531988,1.436393,1.17E+04,2.63E+00,,,,,,
16.99999957,2.45294,1.436393,1.13E+04,2.63E+00,,,,,,
17.04999957,2.373893,1.420583,1.09E+04,2.61E+00,,,,,,
17.09999957,2.373893,1.420583,1.09E+04,2.61E+00,,,,,,
17.14999957,2.294538,1.404774,1.06E+04,2.58E+00,,,,,,
17.19999957,2.21549,1.404774,1.02E+04,2.58E+00,,,,,,
17.24999956,2.136442,1.389026,9.85E+03,2.55E+00,,,,,,
